itemLabel,positionLabel
"Surangel S. Whipps, Jr",President
"Kaleb Udui, Jr",Minister of Finance
Charles Obichang,Minister of Public Infrastructure and Industries
Jerrlyn Uduch Sengebau Senior,Vice-President
Jerrlyn Uduch Sengebau Senior,Minister of Justice
Ngiraibelas Tmetuchl,"Minister of Human Resources, Culture, Tourism and Development"
Steven Victor,"Minister of Agriculture, Fisheries and the Environment"
Dr Dale Jenkins,Minister of Education
Gustav Aitaro,Minister of State
Gaafar Uherbelau,Minister of Health and Human Services
