position,title
Q878329,President
Q2393616,Vice President
Q114457560,"Minister of Agriculture, Fisheries, and the Environment"
Q114457638,Minister of Community and Cultural Affairs
Q114457557,Minister of Education
Q114457553,Minister of Finance
Q114457555,Minister of Health
Q114457558,"Minister of Human Resources, Culture, Tourism and Development"
Q108872462,Minister of Justice
Q114457552,Minister of Public Infrastructure and Industries
Q113581812,Minister of State
Q114457505,Speaker of the House of Delegates
Q114457480,President of the Senate
